Id,Season,Area,unit_area_production(qui/ha),Latitude(N),Longitude(E)
348,Kharif,5500.0,0.8,23.5,73.25
349,Kharif,500.0,0.8,23.5,73.25
350,Kharif,5200.0,0.8076923076923077,23.5,73.25
351,Kharif,9600.0,0.8541666666666666,21.186460699999998,72.80812809999999
352,Kharif,1600.0,0.4375,21.186460699999998,72.80812809999999
353,Kharif,5000.0,0.84,21.190545,73.5587462042772
354,Kharif,3800.0,0.7894736842105263,21.190545,73.5587462042772
355,Kharif,2900.0,0.8275862068965517,21.190545,73.5587462042772
356,Kharif,10100.0,0.7920792079207921,22.297076,73.1957373
357,Kharif,8000.0,0.875,22.297076,73.1957373
358,Kharif,3400.0,0.8529411764705882,22.297076,73.1957373
359,Kharif,2.0,,30.3843674,76.770421
360,Kharif,3.0,,28.606683299999997,76.65807640000001
361,Kharif,12.0,0.6666666666666666,31.4028476,76.6387393742317
362,Kharif,17.0,1.2941176470588236,31.4028476,76.6387393742317
363,Kharif,21.0,1.238095238095238,31.4028476,76.6387393742317
364,Kharif,11.0,1.181818181818182,31.4028476,76.6387393742317
365,Kharif,17.0,1.6470588235294117,31.4028476,76.6387393742317
366,Kharif,7.0,1.7142857142857142,31.4028476,76.6387393742317
367,Kharif,15.0,1.4,31.4028476,76.6387393742317
368,Kharif,8.0,1.625,31.4028476,76.6387393742317
369,Kharif,1.0,0.0,32.5,76.5
370,Kharif,2.0,1.5,32.5,76.5
371,Kharif,1.0,1.0,31.749133299999997,76.50368320000001
372,Kharif,66.0,1.0606060606060606,32.166667,76.25
373,Kharif,67.0,0.8507462686567164,32.166667,76.25
374,Kharif,61.0,1.639344262295082,32.166667,76.25
375,Kharif,56.0,1.6428571428571428,32.166667,76.25
376,Kharif,63.0,1.3968253968253967,32.166667,76.25
377,Kharif,65.0,1.6769230769230767,32.166667,76.25
378,Kharif,60.0,1.6833333333333331,32.166667,76.25
379,Kharif,101.0,1.683168316831683,32.166667,76.25
380,Kharif,76.0,1.6842105263157894,32.166667,76.25
381,Kharif,19.0,1.631578947368421,32.00186325,77.3789963974133
382,Kharif,10.0,1.1,32.00186325,77.3789963974133
383,Kharif,10.0,1.0,32.00186325,77.3789963974133
384,Kharif,6.0,1.1666666666666667,32.00186325,77.3789963974133
385,Kharif,5.0,1.6,32.00186325,77.3789963974133
386,Kharif,10.0,1.0,32.00186325,77.3789963974133
387,Kharif,4.0,1.75,32.00186325,77.3789963974133
388,Kharif,3.0,1.0,32.00186325,77.3789963974133
389,Kharif,4.0,1.25,32.00186325,77.3789963974133
390,Kharif,407.0,1.4717444717444716,31.6723392,76.9533169077914
391,Kharif,400.0,1.4725,31.6723392,76.9533169077914
392,Kharif,398.0,0.9798994974874372,31.6723392,76.9533169077914
393,Kharif,446.0,1.062780269058296,31.6723392,76.9533169077914
394,Kharif,485.0,1.6350515463917523,31.6723392,76.9533169077914
395,Kharif,436.0,1.3899082568807342,31.6723392,76.9533169077914
396,Kharif,464.0,1.6831896551724137,31.6723392,76.9533169077914
397,Kharif,472.0,1.6822033898305084,31.6723392,76.9533169077914
398,Kharif,538.0,1.6821561338289963,31.6723392,76.9533169077914
399,Kharif,433.0,1.3464203233256349,31.6723392,76.9533169077914
400,Kharif,36.0,11.444444444444445,31.104152600000003,77.17097290000001
401,Kharif,39.0,1.3076923076923077,31.104152600000003,77.17097290000001
402,Kharif,55.0,1.0,31.104152600000003,77.17097290000001
403,Kharif,33.0,1.606060606060606,31.104152600000003,77.17097290000001
404,Kharif,14.0,1.4285714285714286,31.104152600000003,77.17097290000001
405,Kharif,24.0,1.625,31.104152600000003,77.17097290000001
406,Kharif,27.0,1.6666666666666667,31.104152600000003,77.17097290000001
407,Kharif,23.0,1.6956521739130437,31.104152600000003,77.17097290000001
408,Kharif,22.0,1.681818181818182,31.104152600000003,77.17097290000001
409,Kharif,15.0,1.6666666666666667,31.104152600000003,77.17097290000001
410,Kharif,23.0,0.3478260869565217,30.75,77.5
411,Kharif,64.0,0.265625,30.75,77.5
412,Kharif,71.0,0.2535211267605634,30.75,77.5
413,Kharif,64.0,0.34375,30.75,77.5
414,Kharif,70.0,1.4714285714285715,30.75,77.5
415,Kharif,30.0,1.6333333333333333,30.75,77.5
416,Kharif,50.0,1.68,30.75,77.5
417,Kharif,48.0,1.6875,30.75,77.5
418,Kharif,29.0,1.6551724137931034,30.75,77.5
419,Kharif,35.0,1.6857142857142855,30.75,77.5
420,Kharif,22.0,1.1363636363636365,30.92589585,77.0820050906362
421,Kharif,23.0,1.1304347826086956,30.92589585,77.0820050906362
422,Kharif,27.0,1.0740740740740742,30.92589585,77.0820050906362
423,Kharif,39.0,1.4102564102564104,30.92589585,77.0820050906362
424,Kharif,49.0,1.6326530612244898,30.92589585,77.0820050906362
425,Kharif,17.0,1.6470588235294117,30.92589585,77.0820050906362
426,Kharif,21.0,1.6666666666666667,30.92589585,77.0820050906362
427,Kharif,20.0,1.7,30.92589585,77.0820050906362
428,Kharif,29.0,1.6896551724137931,30.92589585,77.0820050906362
429,Kharif,15.0,1.6666666666666667,30.92589585,77.0820050906362
430,Kharif,5221.0,0.7381727638383452,16.1853166,75.69679190000001
431,Kharif,5098.0,0.8360141231855629,16.1853166,75.69679190000001
432,Kharif,4743.0,1.0012650221378874,16.1853166,75.69679190000001
433,Kharif,410.0,0.7390243902439024,16.1853166,75.69679190000001
434,Kharif,1349.0,0.5396590066716086,16.1853166,75.69679190000001
435,Kharif,272.0,0.4375,16.1853166,75.69679190000001
436,Kharif,9183.0,0.5614722857453991,16.1853166,75.69679190000001
437,Kharif,6534.0,0.7571166207529844,16.1853166,75.69679190000001
438,Kharif,3367.0,0.9548559548559548,16.1853166,75.69679190000001
439,Kharif,2575.0,1.3491262135922328,16.1853166,75.69679190000001
440,Kharif,2281.0,1.0144673388864534,16.1853166,75.69679190000001
441,Kharif,3524.0,0.5774687854710556,16.1853166,75.69679190000001
442,Kharif,3696.0,0.8606601731601732,16.1853166,75.69679190000001
443,Kharif,3026.0,0.8711169861202908,16.1853166,75.69679190000001
444,Kharif,285.0,0.7859649122807018,16.1853166,75.69679190000001
445,Kharif,3011.0,1.199933576884756,16.1853166,75.69679190000001
